,official gene symbol,cell type (general),cell type id (human),gene id
1492,SIK1,Plasma cells,Q101405123,Q18051920
1493,SIT1,B cells memory,Q101405059,Q18038732
1494,SLC12A1,B cells memory,Q101405059,Q18031559
1495,SLC12A1,B cells naive,Q101405085,Q18031559
1496,SLC12A1,Loop of Henle cells,Q101405109,Q18031559
1497,SP140,B cells memory,Q101405059,Q18036441
1498,STAP1,B cells memory,Q101405059,Q18038175
1499,STAP1,B cells naive,Q101405085,Q18038175
1500,TMEM156,B cells memory,Q101405059,Q18046530
1501,TMEM156,Plasma cells,Q101405123,Q18046530
1502,TRAF4,B cells memory,Q101405059,Q18034433
1503,ZBTB32,B cells memory,Q101405059,Q18038563
1504,IL2RA,B cells naive,Q101405085,Q18027819
1505,IL2RA,Mast cells,Q101404923,Q18027819
1506,IL2RA,Megakaryocytes,Q101404874,Q18027819
1507,IL2RA,T cells,Q101405075,Q18027819
1508,IL2RA,T regulatory cells,Q101405084,Q18027819
1509,IL2RA,Thymocytes,Q101405038,Q18027819
1510,ABCB4,B cells naive,Q101405085,Q15315974
1511,BCL7A,B cells naive,Q101405085,Q17847519
1512,BEND5,B cells naive,Q101405085,Q18046239
1513,BRAF,B cells naive,Q101405085,Q17853226
1514,BRAF,Myoblasts,Q101404940,Q17853226
1515,BRAF,T cells,Q101405075,Q17853226
1516,IL4R,B cells naive,Q101405085,Q18027830
1517,IL4R,Basophils,Q101405089,Q18027830
1518,IL4R,Myeloid-derived suppressor cells,Q101062473,Q18027830
1519,IL4R,Myeloid-derived suppressor cells,Q101404944,Q18027830
1520,IL4R,Paneth cells,Q101405040,Q18027830
1521,MEP1A,B cells naive,Q101405085,Q18029038
1522,MEP1A,Enterocytes,Q101405073,Q18029038
1523,MICAL3,B cells naive,Q101405085,Q18043141
1524,P2RY14,B cells naive,Q101405085,Q18034892
1525,P2RY14,Intercalated cells,Q101404915,Q18034892
1526,P2RY14,Pericytes,Q101405045,Q18034892
1527,PSG2,B cells naive,Q101405085,Q18030837
1528,SELL,B cells naive,Q101405085,Q14901671
1529,SELL,Monocytes,Q101405036,Q14901671
1530,SELL,Neutrophils,Q101405102,Q14901671
1531,SELL,T cells naive,Q101405114,Q14901671
1532,SELL,T memory cells,Q101405071,Q14901671
1533,SELL,T regulatory cells,Q101405084,Q14901671
1534,TCL1A,B cells naive,Q101405085,Q18032740
1535,UGT1A8,B cells naive,Q101405085,Q18041114
1536,ZNF286A,B cells naive,Q101405085,Q18043009
1537,TNFSF8,B cells naive,Q101405085,Q17859212
1538,FOXP1,B cells naive,Q101405085,Q15318896
1539,MITF,B cells naive,Q101405085,Q14906495
1540,MITF,Cardiomyocytes,Q101405077,Q14906495
1541,MITF,Mast cells,Q101404923,Q14906495
1542,MITF,Melanocytes,Q101404894,Q14906495
1543,MITF,Osteoclast precursor cells,Q101405070,Q14906495
1544,HLA-DQB1,B cells naive,Q101405085,Q18026952
1545,HLA-DQB1,Dendritic cells,Q101404869,Q18026952
1546,HLA-DQB1,Langerhans cells,Q101405080,Q18026952
1547,LINC00926,B cells naive,Q101405085,Q18054179
1548,STAG3,B cells naive,Q101405085,Q18035632
1549,KRT5,Basal cells,Q101404853,Q14907905
1550,KRT5,Epithelial cells,Q101404948,Q14907905
1551,KRT5,Keratinocytes,Q101405049,Q14907905
1552,KRT5,Mammary epithelial cells,Q101404863,Q14907905
1553,KRT5,Mesothelial cells,Q101405100,Q14907905
1554,KRT5,Myoepithelial cells,Q101404924,Q14907905
1555,KRT17,Basal cells,Q101404853,Q14864220
1556,KRT17,Keratinocytes,Q101405049,Q14864220
1557,KRT17,Mammary epithelial cells,Q101404863,Q14864220
1558,KRT17,Myoepithelial cells,Q101404924,Q14864220
1559,KRT17,Salivary mucous cells,Q101404929,Q14864220
1560,BCL2,Basal cells,Q101404853,Q14863436
1561,BCL2,Immature neurons,Q101405067,Q14863436
1562,BCL2,T cells,Q101405075,Q14863436
1563,BCL2,T memory cells,Q101405071,Q14863436
1564,KRT14,Basal cells,Q101404853,Q14864175
1565,KRT14,Epithelial cells,Q101404948,Q14864175
1566,KRT14,Hepatoblasts,Q101404910,Q14864175
1567,KRT14,Keratinocytes,Q101405049,Q14864175
1568,KRT14,Mammary epithelial cells,Q101404863,Q14864175
1569,KRT14,Myoepithelial cells,Q101404924,Q14864175
1570,KRT14,Salivary mucous cells,Q101404929,Q14864175
1571,TP63,Basal cells,Q101404853,Q15313986
1572,TP63,Epithelial cells,Q101404948,Q15313986
1573,TP63,Melanocytes,Q101404894,Q15313986
1574,TP63,Myoepithelial cells,Q101404924,Q15313986
1575,CDH3,Basal cells,Q101404853,Q17859812
1576,CDH3,Epithelial cells,Q101404948,Q17859812
1577,CDH3,Myoepithelial cells,Q101404924,Q17859812
1578,KRT6B,Basal cells,Q101404853,Q18028374
1579,METTL5,Basal cells,Q101404853,Q18039579
1580,ANXA11,Basal cells,Q101404853,Q17828712
1581,TMEM14A,Basal cells,Q101404853,Q18039536
1582,BNIP3,Basal cells,Q101404853,Q17850131
1583,BNIP3,Embryonic stem cells,Q101405112,Q17850131
1584,BNIP3,Hepatocytes,Q101405101,Q17850131
1585,TYMP,Basal cells,Q101404853,Q7523191
1586,TYMP,Monocytes,Q101405036,Q7523191
1587,DPP7,Basal cells,Q101404853,Q18039726
1588,OPTN,Basal cells,Q101404853,Q18035056
1589,OPTN,Mast cells,Q101404923,Q18035056
1590,OPTN,Podocytes,Q101405039,Q18035056
1591,PLAU,Basal cells,Q101404853,Q417169
1592,PLAU,Mast cells,Q101404923,Q417169
1593,PLAU,Mesangial cells,Q101405121,Q417169
1594,PLAU,Monocytes,Q101405036,Q417169
1595,CAPN1,Basal cells,Q101404853,Q17855781
1596,CAPN1,Myoblasts,Q101404940,Q17855781
1597,CAPN1,Spermatocytes,Q101404900,Q17855781
1598,BACE2,Basal cells,Q101404853,Q14865202
1599,BACE2,Endothelial cells (aorta),Q101404926,Q14865202
1600,BACE2,Goblet cells,Q101405054,Q14865202
1601,CTNNB1,Basal cells,Q101404853,Q14902794
1602,CTNNB1,Cardiomyocytes,Q101405077,Q14902794
1603,CTNNB1,Chondrocytes,Q101405092,Q14902794
1604,CTNNB1,Embryonic stem cells,Q101405112,Q14902794
1605,CTNNB1,Hepatocytes,Q101405101,Q14902794
1606,CTNNB1,Pancreatic progenitor cells,Q101405063,Q14902794
1607,CTNNB1,Paneth cells,Q101405040,Q14902794
1608,ILK,Basal cells,Q101404853,Q20970072
1609,ILK,Platelets,Q101404882,Q20970072
1610,PKP3,Basal cells,Q101404853,Q18036279
1611,PKP3,Keratinocytes,Q101405049,Q18036279
1612,ITGA3,Basal cells,Q101404853,Q14912139
1613,ITGA3,Myocytes,Q101404903,Q14912139
1614,ITGA3,Podocytes,Q101405039,Q14912139
1615,MT1L,Basal cells,Q101404853,Q18029490
1616,SRSF4,Basal cells,Q101404853,Q18031457
1617,RAB38,Basal cells,Q101404853,Q18037585
1618,RAB38,Melanocytes,Q101404894,Q18037585
1619,ALKBH7,Basal cells,Q101404853,Q18047513
1620,DNPH1,Basal cells,Q101404853,Q18035511
1621,KRT23,Basal cells,Q101404853,Q18037852
1622,KRT23,Luminal epithelial cells,Q101404886,Q18037852
1623,SLC16A3,Basal cells,Q101404853,Q18033845
1624,SLC16A3,Sertoli cells,Q101404909,Q18033845
1625,GYPC,Basal cells,Q101404853,Q18026706
1626,GYPC,Erythroid-like and erythroid precursor cells,Q101404957,Q18026706
1627,DUSP23,Basal cells,Q101404853,Q18041397
1628,RARRES1,Basal cells,Q101404853,Q18031044
1629,RARRES1,Mammary epithelial cells,Q101404863,Q18031044
1630,ITGA2,Basal cells,Q101404853,Q14912131
1631,ITGA2,Epithelial cells,Q101404948,Q14912131
1632,ITGA2,NK cells,Q101404899,Q14912131
1633,ITGA2,Osteoblasts,Q101405044,Q14912131
1634,ITGA2,Osteoclasts,Q101404928,Q14912131
1635,ITGA2,Platelets,Q101404882,Q14912131
1636,SLC25A37,Basal cells,Q101404853,Q18040196
1637,SLC25A37,Erythroid-like and erythroid precursor cells,Q101404957,Q18040196
1638,GAPDHP1,Basal cells,Q101404853,Q18025445
1639,ITGB6,Basal cells,Q101404853,Q18028043
1640,ITGB4,Basal cells,Q101404853,Q4201965
1641,ITGB4,Cholangiocytes,Q101405042,Q4201965
1642,ITGB4,Endothelial cells (aorta),Q101404926,Q4201965
1643,ITGB4,Epithelial cells,Q101404948,Q4201965
1644,ITGB4,Oligodendrocytes,Q101404898,Q4201965
1645,ITGB4,Schwann cells,Q101404893,Q4201965
1646,SPHK1,Basal cells,Q101404853,Q14913834
1647,SPHK1,Microglia,Q101404888,Q14913834
1648,SPHK1,Myoepithelial cells,Q101404924,Q14913834
1649,ACTG2,Basal cells,Q101404853,Q17709283
1650,ACTG2,Myoepithelial cells,Q101404924,Q17709283
1651,ACTG2,Smooth muscle cells,Q101404901,Q17709283
1652,IRF6,Basal cells,Q101404853,Q14890118
1653,IRF6,Mammary epithelial cells,Q101404863,Q14890118
1654,IRF6,Microfold cells,Q101404934,Q14890118
1655,RAB13,Basal cells,Q101404853,Q18030997
1656,LAMB3,Basal cells,Q101404853,Q18028458
1657,LAMB3,Ductal cells,Q101404956,Q18028458
1658,LAMB3,Myoepithelial cells,Q101404924,Q18028458
1659,ACADVL,Basal cells,Q101404853,Q15996541
1660,MMP7,Basal cells,Q101404853,Q18029191
1661,MMP7,Cholangiocytes,Q101405042,Q18029191
1662,MMP7,Ductal cells,Q101404956,Q18029191
1663,MMP7,Paneth cells,Q101405040,Q18029191
1664,HEBP2,Basal cells,Q101404853,Q18037378
1665,FBXO32,Basal cells,Q101404853,Q18049116
1666,MT1E,Basal cells,Q101404853,Q18029473
1667,MT2P1,Basal cells,Q101404853,Q18029497
1668,SERINC2,Basal cells,Q101404853,Q18055747
1669,KRT15,Basal cells,Q101404853,Q14864225
1670,KRT15,Ependymal cells,Q101405078,Q14864225
1671,KRT15,Epithelial cells,Q101404948,Q14864225
1672,KRT15,Keratinocytes,Q101405049,Q14864225
1673,PLP2,Basal cells,Q101404853,Q18030598
1674,MT1X,Basal cells,Q101404853,Q18029492
1675,S100A14,Basal cells,Q101404853,Q18043022
1676,S100A14,Keratinocytes,Q101405049,Q18043022
1677,LAMC2,Basal cells,Q101404853,Q18028466
1678,LAMC2,Keratinocytes,Q101405049,Q18028466
1679,LAMC2,Myoepithelial cells,Q101404924,Q18028466
1680,LAMC2,Stromal cells,Q101404941,Q18028466
1681,BMP7,Basal cells,Q101404853,Q14903102
1682,BMP7,Meningeal cells,Q101405083,Q14903102
1683,MYLK,Basal cells,Q101404853,Q18029774
1684,MYLK,Endothelial cells,Q101404908,Q18029774
1685,MYLK,Myoepithelial cells,Q101404924,Q18029774
1686,MYLK,Neutrophils,Q101405102,Q18029774
1687,MYLK,Smooth muscle cells,Q101404901,Q18029774
1688,IL3RA,Basophils,Q101405089,Q18027827
1689,IL3RA,Hematopoietic stem cells,Q101405052,Q18027827
1690,IL3RA,Plasmacytoid dendritic cells,Q101405033,Q18027827
1691,CCR3,Basophils,Q101405089,Q17907805
1692,CCR3,Eosinophils,Q101405048,Q17907805
1693,CCR3,Mast cells,Q101404923,Q17907805
1694,CCR3,Platelets,Q101404882,Q17907805
1695,CCR3,Red pulp macrophages,Q101404936,Q17907805
1696,CCR3,T helper cells,Q101423298,Q17907805
1697,CCR3,T helper cells,Q101404876,Q17907805
1698,ENPP3,Basophils,Q101405089,Q18030435
1699,ENPP3,Mast cells,Q101404923,Q18030435
1700,FCER1A,Basophils,Q101405089,Q17927758
1701,FCER1A,Dendritic cells,Q101404869,Q17927758
1702,FCER1A,Mast cells,Q101404923,Q17927758
1703,LTC4S,Basophils,Q101405089,Q14913409
1704,LTC4S,Endothelial cells,Q101404908,Q14913409
1705,LTC4S,Eosinophils,Q101405048,Q14913409
1706,LTC4S,Mast cells,Q101404923,Q14913409
1707,LTC4S,Microglia,Q101404888,Q14913409
1708,CPA3,Basophils,Q101405089,Q17909128
1709,CPA3,Eosinophils,Q101405048,Q17909128
1710,CPA3,Mast cells,Q101404923,Q17909128
1711,ITGAL,Basophils,Q101405089,Q14904995
1712,ITGAL,Epithelial cells,Q101404948,Q14904995
1713,ITGAL,Fibroblasts,Q101404861,Q14904995
1714,ITGAL,Macrophages,Q101405081,Q14904995
1715,ITGAL,Monocytes,Q101405036,Q14904995
1716,ITGAM,Basophils,Q101405089,Q14905324
1717,ITGAM,Dendritic cells,Q101404869,Q14905324
1718,ITGAM,Macrophages,Q101405081,Q14905324
1719,ITGAM,Microglia,Q101404888,Q14905324
1720,ITGAM,Monocytes,Q101405036,Q14905324
1721,ITGAM,Myeloid-derived suppressor cells,Q101062473,Q14905324
1722,ITGAM,Myeloid-derived suppressor cells,Q101404944,Q14905324
1723,ITGAM,Neutrophils,Q101405102,Q14905324
1724,ITGAM,NK cells,Q101404899,Q14905324
1725,ITGB7,Basophils,Q101405089,Q18028046
1726,ITGB7,T memory cells,Q101405071,Q18028046
1727,IL4,Basophils,Q101405089,Q14865947
1728,IL4,Mast cells,Q101404923,Q14865947
1729,IL4,Myocytes,Q101404903,Q14865947
1730,IL4,T helper cells,Q101423298,Q14865947
1731,IL4,T helper cells,Q101404876,Q14865947
1732,MS4A2,Basophils,Q101405089,Q17927759
1733,MS4A2,Mast cells,Q101404923,Q17927759
1734,MS4A3,Basophils,Q101405089,Q17858733
1735,HDC,Basophils,Q101405089,Q14888529
1736,HDC,Ependymal cells,Q101405078,Q14888529
1737,HDC,Mast cells,Q101404923,Q14888529
1738,HDC,Neutrophils,Q101405102,Q14888529
1739,GATA2,Basophils,Q101405089,Q18025461
1740,GATA2,Epithelial cells,Q101404948,Q18025461
1741,GATA2,Hematopoietic stem cells,Q101405052,Q18025461
1742,GATA2,Interneurons,Q101405035,Q18025461
1743,GATA2,Megakaryocytes,Q101404874,Q18025461
1744,GATA2,Pluripotent stem cells,Q101405055,Q18025461
1745,CD33,Basophils,Q101405089,Q5009814
1746,CD33,Hematopoietic stem cells,Q101405052,Q5009814
1747,CD33,Macrophages,Q101405081,Q5009814
1748,CD33,Monocytes,Q101405036,Q5009814
1749,CD33,Myeloid-derived suppressor cells,Q101062473,Q5009814
1750,CD33,Myeloid-derived suppressor cells,Q101404944,Q5009814
1751,CD33,Neutrophils,Q101405102,Q5009814
1752,CD33,NK cells,Q101404899,Q5009814
1753,CD44,Basophils,Q101405089,Q14880373
1754,CD44,Erythroblasts,Q101405046,Q14880373
1755,CD44,Erythroid-like and erythroid precursor cells,Q101404957,Q14880373
1756,CD44,Fibroblasts,Q101404861,Q14880373
1757,CD44,Hematopoietic stem cells,Q101405052,Q14880373
1758,CD44,Monocytes,Q101405036,Q14880373
1759,CD44,Müller cells,Q101405096,Q14880373
1760,CD44,Müller cells,Q101405097,Q14880373
1761,CD44,Natural killer T cells,Q101404895,Q14880373
1762,CD44,Osteoblasts,Q101405044,Q14880373
1763,HTR1B,Basophils,Q101405089,Q18027423
1764,IGFBP7,Basophils,Q101405089,Q18027689
1765,IGFBP7,Endothelial cells,Q101404908,Q18027689
1766,IGFBP7,Hepatic stellate cells,Q101404946,Q18027689
1767,DNASE2B,Basophils,Q101405089,Q18044998
1768,FADS2,Basophils,Q101405089,Q18034075
1769,GPC4,Basophils,Q101405089,Q5573601
1770,GRM6,Basophils,Q101405089,Q18026551
1771,GRM6,Photoreceptor cells,Q101404878,Q18026551
1772,GRM6,Photoreceptor cells,Q101404879,Q18026551
1773,ACSS2,Basophils,Q101405089,Q18042148
1774,ACSS2,Hepatocytes,Q101405101,Q18042148
1775,ADORA2B,Basophils,Q101405089,Q4682273
1776,AQP9,Basophils,Q101405089,Q17831441
1777,AQP9,Hepatocytes,Q101405101,Q17831441
1778,AQP9,Osteoclasts,Q101404928,Q17831441
1779,BACE1,Basophils,Q101405089,Q14891871
1780,BACE1,Interneurons,Q101405035,Q14891871
1781,BACE1,Oligodendrocytes,Q101404898,Q14891871
1782,BMP4,Basophils,Q101405089,Q14903397
1783,BMP4,Cardiac stem and precursor cells,Q101405076,Q14903397
1784,BMP4,Cardiomyocytes,Q101405077,Q14903397
1785,BMP4,Endothelial cells (aorta),Q101404926,Q14903397
1786,BMP4,Epsilon cells,Q101404922,Q14903397
1787,BMP4,Stromal cells,Q101404941,Q14903397
1788,CABLES1,Basophils,Q101405089,Q18048562
1789,CCL4,Basophils,Q101405089,Q14907551
1790,CCL4,Microglia,Q101404888,Q14907551
1791,CCL4,NK cells,Q101404899,Q14907551
1792,CCL4,T cells,Q101405075,Q14907551
1793,E2F8,Basophils,Q101405089,Q18046307
1794,FADS1,Basophils,Q101405089,Q18028586
1795,FAR2,Basophils,Q101405089,Q18041983
1796,FBXO9,Basophils,Q101405089,Q18038205
1797,GABBR1,Basophils,Q101405089,Q18025012
1798,GPR183,Basophils,Q101405089,Q17915142
1799,GPR183,Microglia,Q101404888,Q17915142
1800,GPR183,Plasmacytoid dendritic cells,Q101405033,Q17915142
1801,HGF,Basophils,Q101405089,Q14906204
1802,HGF,Fibroblasts,Q101404861,Q14906204
1803,HGF,Hepatic stellate cells,Q101404946,Q14906204
1804,HIST1H1D,Basophils,Q101405089,Q18026737
1805,HIST1H2AC,Basophils,Q101405089,Q18032832
1806,IFITM1,Basophils,Q101405089,Q18033066
1807,IFITM1,Gamma delta T cells,Q101405093,Q18033066
1808,IFITM1,Pericytes,Q101405045,Q18033066
1809,INF2,Basophils,Q101405089,Q18045670
1810,JAZF1,Basophils,Q101405089,Q18053535
1811,L1CAM,Basophils,Q101405089,Q14865255
1812,L1CAM,Enteric glia cells,Q101405119,Q14865255
1813,L1CAM,Enterocytes,Q101405073,Q14865255
1814,L1CAM,Interneurons,Q101405035,Q14865255
1815,L1CAM,Principal cells,Q101404911,Q14865255
1816,LAMA5,Basophils,Q101405089,Q18028450
1817,LAMA5,Keratinocytes,Q101405049,Q18028450
1818,MBOAT1,Basophils,Q101405089,Q18052265
1819,NFIL3,Basophils,Q101405089,Q18030096
1820,NPL,Basophils,Q101405089,Q18046830
1821,OSBPL5,Basophils,Q101405089,Q18049100
1822,OTUB2,Basophils,Q101405089,Q18045920
1823,OTUB2,Germ cells,Q101404931,Q18045920
1824,P2RY1,Basophils,Q101405089,Q18030321
1825,P2RY1,Bergmann glia,Q101404920,Q18030321
1826,P2RY1,Chromaffin cells,Q101404868,Q18030321
1827,PDK3,Basophils,Q101405089,Q18030432
1828,PDZD4,Basophils,Q101405089,Q18043189
1829,PERP,Basophils,Q101405089,Q18045541
1830,PERP,Ductal cells,Q101404956,Q18045541
1831,PERP,Trophoblast cells,Q101404927,Q18045541
1832,PIGY,Basophils,Q101405089,Q18047946
1833,PLEKHG5,Basophils,Q101405089,Q18043040
1834,PLG,Basophils,Q101405089,Q18030589
1835,RNF39,Basophils,Q101405089,Q18046736
1836,SLC26A3,Basophils,Q101405089,Q17914667
1837,SLC26A3,Enterocytes,Q101405073,Q17914667
1838,SLC26A8,Basophils,Q101405089,Q18049224
1839,SNCAIP,Basophils,Q101405089,Q18034495
1840,ST6GALNAC5,Basophils,Q101405089,Q18047108
1841,SUPT3H,Basophils,Q101405089,Q18032955
1842,TULP3,Basophils,Q101405089,Q18032230
1843,TEC,Basophils,Q101405089,Q18031939
1844,UNC93A,Basophils,Q101405089,Q18040985
1845,WRN,Basophils,Q101405089,Q14883734
1846,WRN,Erythroblasts,Q101405046,Q14883734
1847,ID1,Basophils,Q101405089,Q18027500
1848,ID1,Endothelial cells,Q101404908,Q18027500
1849,GRIA4,Bergmann glia,Q101404920,Q18026487
1850,GRIA4,Interneurons,Q101405035,Q18026487
1851,GRIA4,Neurons,Q101405104,Q18026487
1852,GRM3,Bergmann glia,Q101404920,Q18026541
1853,A2M,Bergmann glia,Q101404920,Q289013
1854,PTCH1,Bergmann glia,Q101404920,Q18030895
1855,PTCH1,Fibroblasts,Q101404861,Q18030895
1856,PTCH1,Leydig cells,Q101405116,Q18030895
1857,CDC42EP4,Bergmann glia,Q101404920,Q18037289
1858,BTBD17,Bergmann glia,Q101404920,Q18056495
1859,HOPX,Bergmann glia,Q101404920,Q18047640
1860,HOPX,Beta cells,Q101405087,Q18047640
1861,HOPX,Crypt cells,Q101405043,Q18047640
1862,HOPX,Gamma delta T cells,Q101405093,Q18047640
1863,HOPX,Mesangial cells,Q101405121,Q18047640
1864,HOPX,Neural stem/precursor cells,Q101405041,Q18047640
1865,HOPX,NK cells,Q101404899,Q18047640
1866,HOPX,Pulmonary alveolar type I cells,Q101405061,Q18047640
1867,HOPX,T cells,Q101405075,Q18047640
1868,HOPX,Trophoblast cells,Q101404927,Q18047640
1869,TTC21B,Bergmann glia,Q101404920,Q18046367
1870,HEPACAM,Bergmann glia,Q101404920,Q18053432
1871,HEPACAM,Oligodendrocytes,Q101404898,Q18053432
1872,ZEB2,Bergmann glia,Q101404920,Q15318481
1873,ZEB2,Fibroblasts,Q101404861,Q15318481
1874,UFL1,Bergmann glia,Q101404920,Q18037132
1875,NRXN3,Bergmann glia,Q101404920,Q18034037
1876,ATP7A,Bergmann glia,Q101404920,Q14884608
1877,BICD2,Bergmann glia,Q101404920,Q18037071
1878,P2RX7,Bergmann glia,Q101404920,Q18030320
1879,P2RX7,Epithelial cells,Q101404948,Q18030320
1880,P2RX7,Microglia,Q101404888,Q18030320
1881,P2RX7,Neural stem/precursor cells,Q101405041,Q18030320
1882,P2RX7,Pulmonary alveolar type I cells,Q101405061,Q18030320
1883,P2RX7,T follicular helper cells,Q101405110,Q18030320
1884,P2RX7,T follicular helper cells,Q101404875,Q18030320
1885,P2RX7,Taste receptor cells,Q101405050,Q18030320
1886,GRIA1,Bergmann glia,Q101404920,Q18026481
1887,GRIN2B,Bergmann glia,Q101404920,Q18026519
1888,GRIN2B,Glutaminergic neurons,Q101404918,Q18026519
1889,GRIN3A,Bergmann glia,Q101404920,Q18049232
1890,SEPT4,Bergmann glia,Q101404920,Q18030637
1891,DAO,Bergmann glia,Q101404920,Q17912747
1892,ITGB1,Bergmann glia,Q101404920,Q14912083
1893,ITGB1,Embryonic stem cells,Q101405112,Q14912083
1894,ITGB1,Erythroblasts,Q101405046,Q14912083
1895,ITGB1,Osteoclasts,Q101404928,Q14912083
1896,KIF1BP,Bergmann glia,Q101404920,Q20970074
1897,KIF1BP,Olfactory epithelial cells,Q101405047,Q20970074
1898,GCGR,Beta cells,Q101405087,Q14904911
1899,JPH3,Beta cells,Q101405087,Q18043012
1900,JPH3,Enteric neurons,Q101404906,Q18043012
1901,HAMP,Beta cells,Q101405087,Q14882371
1902,HAMP,Cardiomyocytes,Q101405077,Q14882371
1903,HAMP,Hepatocytes,Q101405101,Q14882371
1904,EZH1,Beta cells,Q101405087,Q17917762
1905,NTRK1,Beta cells,Q101405087,Q14897694
1906,NTRK1,Chromaffin cells,Q101404868,Q14897694
1907,NTRK1,Immature neurons,Q101405067,Q14897694
1908,NTRK1,Schwann cells,Q101404893,Q14897694
1909,PDX1,Beta cells,Q101405087,Q18027973
1910,PDX1,Delta cells,Q101404889,Q18027973
1911,PDX1,Ductal cells,Q101404956,Q18027973
1912,PDX1,Pancreatic progenitor cells,Q101405063,Q18027973
1913,SLC2A2,Beta cells,Q101405087,Q18031525
1914,SLC2A2,Enterocytes,Q101405073,Q18031525
1915,SLC2A2,Hepatocytes,Q101405101,Q18031525
1916,NKX6-2,Beta cells,Q101405087,Q18047629
1917,NKX6-2,Oligodendrocyte progenitor cells,Q101404917,Q18047629
1918,NKX6-2,Oligodendrocytes,Q101404898,Q18047629
1919,FXYD2,Beta cells,Q101405087,Q17833123
1920,FXYD2,Cholangiocytes,Q101405042,Q17833123
1921,FXYD2,Delta cells,Q101404889,Q17833123
1922,FXYD2,Distal tubule cells,Q101405088,Q17833123
1923,FXYD2,Gamma (PP) cells,Q101405057,Q17833123
1924,FXYD2,Intercalated cells,Q101404915,Q17833123
1925,NPY,Beta cells,Q101405087,Q14864369
1926,NPY,Chromaffin cells,Q101404868,Q14864369
1927,NPY,Interneurons,Q101405035,Q14864369
1928,NPY,Neuroendocrine cells,Q101405206,Q14864369
1929,NPY,Neurons,Q101405104,Q14864369
1930,NPY,Schwann cells,Q101404893,Q14864369
1931,INS,Beta cells,Q101405087,Q21163221
1932,RIMS1,Beta cells,Q101405087,Q18036647
1933,MAFA,Beta cells,Q101405087,Q18056700
1934,EFNA5,Beta cells,Q101405087,Q5382384
1935,EFNA5,Enteric neurons,Q101404906,Q5382384
1936,EFNA5,Olfactory epithelial cells,Q101405047,Q5382384
1937,LMX1A,Beta cells,Q101405087,Q18028621
1938,LMX1A,Enterochromaffin cells,Q101405125,Q18028621
1939,PAX4,Beta cells,Q101405087,Q18030355
1940,PAX4,Delta cells,Q101404889,Q18030355
1941,IAPP,Beta cells,Q101405087,Q14865246
1942,IAPP,Delta cells,Q101404889,Q14865246
1943,IAPP,Enteroendocrine cells,Q101404935,Q14865246
1944,G6PC2,Beta cells,Q101405087,Q18044649
1945,GJD2,Beta cells,Q101405087,Q18043016
1946,GJD2,Chromaffin cells,Q101404868,Q18043016
1947,IGF2,Beta cells,Q101405087,Q14874349
1948,IGF2,Chondrocytes,Q101405092,Q14874349
1949,IGF2,Chromaffin cells,Q101404868,Q14874349
1950,IGF2,Leydig cells,Q101405116,Q14874349
1951,IGF2,Meningeal cells,Q101405083,Q14874349
1952,IGF2,Myoblasts,Q101404940,Q14874349
1953,IGF2,Spermatocytes,Q101404900,Q14874349
1954,IGF2,Trophoblast cells,Q101404927,Q14874349
1955,SYT13,Beta cells,Q101405087,Q18043177
1956,SYT13,Interneurons,Q101405035,Q18043177
1957,NPTX2,Beta cells,Q101405087,Q18030208
1958,NPTX2,Delta cells,Q101404889,Q18030208
1959,PFKFB2,Beta cells,Q101405087,Q18030481
1960,EDARADD,Beta cells,Q101405087,Q18049853
1961,ADCYAP1,Beta cells,Q101405087,Q14907479
1962,CASR,Beta cells,Q101405087,Q15321271
1963,CASR,Delta cells,Q101404889,Q15321271
1964,CASR,Osteoclasts,Q101404928,Q15321271
1965,CASR,Parathyroid chief cells,Q101405106,Q15321271
1966,ISL1,Beta cells,Q101405087,Q18028009
1967,ISL1,Cardiac stem and precursor cells,Q101405076,Q18028009
1968,ISL1,Delta cells,Q101404889,Q18028009
1969,ISL1,Enteroendocrine cells,Q101404935,Q18028009
1970,ISL1,Gamma (PP) cells,Q101405057,Q18028009
1971,ISL1,Interneurons,Q101405035,Q18028009
1972,ISL1,Motor neurons,Q101404862,Q18028009
1973,ISL1,Neuroblasts,Q101405031,Q18028009
1974,ISL1,Neurons,Q101405104,Q18028009
1975,ISL1,Pancreatic progenitor cells,Q101405063,Q18028009
1976,ISL1,Photoreceptor cells,Q101404878,Q18028009
1977,ISL1,Photoreceptor cells,Q101404879,Q18028009
1978,ISL1,Retinal ganglion cells,Q101405117,Q18028009
1979,ISL1,Satellite cells,Q101404953,Q18028009
1980,TGFBR3,Beta cells,Q101405087,Q14911562
1981,SMAD9,Beta cells,Q101405087,Q14904385
1982,SMAD9,Embryonic stem cells,Q101405112,Q14904385
1983,SIX3,Beta cells,Q101405087,Q18031510
1984,SIX3,Ependymal cells,Q101405078,Q18031510
1985,SIX3,Retinal progenitor cells,Q101404912,Q18031510
1986,SIX2,Beta cells,Q101405087,Q18035634
1987,SIX2,Kidney progenitor cells,Q101405120,Q18035634
1988,BMP5,Beta cells,Q101405087,Q14903759
1989,BMP5,Stromal cells,Q101404941,Q14903759
1990,PIR,Beta cells,Q101405087,Q18033091
1991,STXBP5,Beta cells,Q101405087,Q18050566
1992,STXBP5,Enteric neurons,Q101404906,Q18050566
1993,DLK1,Beta cells,Q101405087,Q18033372
