,official gene symbol,cell type
1996,MPZ,Enteric glia cells
1997,LGI4,Enteric glia cells
1998,RGS16,Enteric glia cells
1999,ALDH1A1,Enteric glia cells
2000,L1CAM,Enteric glia cells
2001,CXCL14,Enteric glia cells
2002,DKK3,Enteric glia cells
2003,INTS6,Enteric glia cells
2004,DHRS3,Enteric glia cells
2005,SOX10,Enteric glia cells
2006,GFAP,Enteric glia cells
2007,S100B,Enteric glia cells
2008,NOS2,Enteric glia cells
2009,FOXD3,Enteric glia cells
2010,ALDH1A3,Enteric glia cells
2011,SLC18A2,Enteric glia cells
2012,HIVEP3,Enteric neurons
2013,PLEKHA5,Enteric neurons
2014,IGF2BP3,Enteric neurons
2015,ARHGAP26,Enteric neurons
2016,TTBK2,Enteric neurons
2017,ASTN1,Enteric neurons
2018,CACNA1E,Enteric neurons
2019,TUB,Enteric neurons
2020,FILIP1,Enteric neurons
2021,GCNT2,Enteric neurons
2022,VEZT,Enteric neurons
2023,RET,Enteric neurons
2024,AHDC1,Enteric neurons
2025,MAP6,Enteric neurons
2026,RGMB,Enteric neurons
2027,FBXO7,Enteric neurons
2028,PPP2R5B,Enteric neurons
2029,SNX21,Enteric neurons
2030,FSTL5,Enteric neurons
2031,LIX1,Enteric neurons
2032,RGS3,Enteric neurons
2033,CYTH3,Enteric neurons
2034,TSHZ1,Enteric neurons
2035,STXBP5,Enteric neurons
2036,ATF5,Enteric neurons
2037,DMKN,Enteric neurons
2038,CACNA1B,Enteric neurons
2039,PIK3CA,Enteric neurons
2040,ZDHHC2,Enteric neurons
2041,MYL1,Enteric neurons
2042,EML5,Enteric neurons
2043,MFSD6,Enteric neurons
2044,SCN7A,Enteric neurons
2045,ARHGEF28,Enteric neurons
2046,HAND2,Enteric neurons
2047,VSTM2L,Enteric neurons
2048,FAM19A5,Enteric neurons
2049,EFNA5,Enteric neurons
2050,HOXB4,Enteric neurons
2051,TLX2,Enteric neurons
2052,GOLGA7B,Enteric neurons
2053,SLC18A3,Enteric neurons
2054,TOX,Enteric neurons
2055,CELF6,Enteric neurons
2056,GPR22,Enteric neurons
2057,PLCE1,Enteric neurons
2058,CYB561,Enteric neurons
2059,GFRA2,Enteric neurons
2060,FLOT2,Enteric neurons
2061,SLC7A14,Enteric neurons
2062,JPH3,Enteric neurons
2063,CASZ1,Enteric neurons
2064,TAC1,Enteric neurons
2065,SCN3A,Enteric neurons
2066,CHRNA3,Enteric neurons
2067,PARVA,Enteric neurons
2068,SLC10A4,Enteric neurons
2069,TM4SF4,Enteric neurons
2070,FAM19A1,Enteric neurons
2071,SLC5A7,Enteric neurons
2072,PHOX2B,Enteric neurons
2073,PIRT,Enteric neurons
2074,HOXB5,Enteric neurons
2075,HOXA5,Enteric neurons
2076,GAL,Enteric neurons
2077,CARTPT,Enteric neurons
2078,NMU,Enteric neurons
2079,VIP,Enteric neurons
2080,CCK,Enteric neurons
2081,REG4,Enterochromaffin cells
2082,AFP,Enterochromaffin cells
2083,SLC18A1,Enterochromaffin cells
2084,LMX1A,Enterochromaffin cells
2085,TRPA1,Enterochromaffin cells
2086,FGF1,Enterochromaffin cells
2087,PIEZO2,Enterochromaffin cells
2088,ADGRG4,Enterochromaffin cells
2089,ADM,Enterochromaffin cells
2090,TPH1,Enterochromaffin cells
2091,CRH,Enterochromaffin cells
2092,GJB1,Enterochromaffin cells
2093,GATA4,Enterocytes
2094,LYPD8,Enterocytes
2095,NLRP6,Enterocytes
2096,KRT20,Enterocytes
2097,MYO1A,Enterocytes
2098,PPARG,Enterocytes
2099,SLC15A1,Enterocytes
2100,FLOT2,Enterocytes
2101,APOBEC1,Enterocytes
2102,PLIN3,Enterocytes
2103,SLC10A2,Enterocytes
2104,SLC40A1,Enterocytes
2105,SLC5A1,Enterocytes
2106,TTC7A,Enterocytes
2107,NPC1L1,Enterocytes
2108,FABP1,Enterocytes
2109,ANPEP,Enterocytes
2110,CA1,Enterocytes
2111,CPS1,Enterocytes
2112,DPP4,Enterocytes
2113,SLC2A5,Enterocytes
2114,ALPI,Enterocytes
2115,FABP2,Enterocytes
2116,LCT,Enterocytes
2117,SI,Enterocytes
2118,VIL1,Enterocytes
2120,FUOM,Enterocytes
2121,FAHD1,Enterocytes
2122,OTC,Enterocytes
2123,CDH17,Enterocytes
2124,KHK,Enterocytes
2125,ABHD11,Enterocytes
2127,VDR,Enterocytes
2128,EHF,Enterocytes
2129,CDC42EP5,Enterocytes
2131,CASP6,Enterocytes
2132,HNF4A,Enterocytes
2133,AQP1,Enterocytes
2134,TMEM45B,Enterocytes
2135,RGMB,Enterocytes
2136,PDHA1,Enterocytes
2137,CDO1,Enterocytes
2138,ELF3,Enterocytes
2139,KRTCAP3,Enterocytes
2140,DEGS2,Enterocytes
2141,TMC4,Enterocytes
2143,PPP1R14D,Enterocytes
2144,TM4SF5,Enterocytes
2145,RNF186,Enterocytes
2146,CEACAM1,Enterocytes
2147,KLF5,Enterocytes
2148,CDX1,Enterocytes
2149,CDX2,Enterocytes
2150,CLDN15,Enterocytes
2151,ASCL2,Enterocytes
2152,SMOC2,Enterocytes
2153,PRR15L,Enterocytes
2154,FBP2,Enterocytes
2155,SDSL,Enterocytes
2157,FERMT1,Enterocytes
2158,ALDOB,Enterocytes
2159,MUC13,Enterocytes
2160,PHGR1,Enterocytes
2161,PRAP1,Enterocytes
2162,CCL25,Enterocytes
2163,LGALS2,Enterocytes
2164,SPON2,Enterocytes
2165,ASPN,Enterocytes
2166,CTRB1,Enterocytes
2167,CD55,Enterocytes
2168,CDH19,Enterocytes
2169,SLC35F1,Enterocytes
2170,G0S2,Enterocytes
2171,GULP1,Enterocytes
2172,NKD2,Enterocytes
2173,COL18A1,Enterocytes
2174,SOX10,Enterocytes
2175,COL20A1,Enterocytes
2176,PMEPA1,Enterocytes
2177,GFRA2,Enterocytes
2178,ART3,Enterocytes
2179,SLC26A2,Enterocytes
2183,PRSS2,Enterocytes
2184,L1CAM,Enterocytes
2185,SLC11A2,Enterocytes
2186,SLC26A3,Enterocytes
2187,APOA1,Enterocytes
2188,APOA4,Enterocytes
2189,CBR1,Enterocytes
2190,EPHX2,Enterocytes
2191,GSTM3,Enterocytes
2193,CREB3L3,Enterocytes
2194,MEP1A,Enterocytes
2198,FABP6,Enterocytes
2199,RBP2,Enterocytes
2200,CYP3A4,Enterocytes
2201,APOB,Enterocytes
2202,MTTP,Enterocytes
2203,SLC2A2,Enterocytes
2204,APOC3,Enterocytes
2205,UGT2B17,Enterocytes
2206,CD36,Enterocytes
2207,REG3A,Enterocytes
2208,ISX,Enterocytes
2209,AQP10,Enterocytes
2210,S100G,Enterocytes
2211,BEST4,Enterocytes
2212,SLC28A1,Enterocytes
2213,SLC28A2,Enterocytes
2214,SLC30A10,Enterocytes
2215,SLC51B,Enterocytes
2216,VNN1,Enterocytes
2217,SLC23A1,Enterocytes
2218,TREH,Enterocytes
2219,ABCC2,Enterocytes
2220,ABCG5,Enterocytes
2221,SLC52A1,Enterocytes
2222,CYP3A7,Enterocytes
2223,DMBT1,Enterocytes
2224,ABCG8,Enterocytes
2225,PLIN2,Enterocytes
2226,GSTA1,Enterocytes
2227,CYBRD1,Enterocytes
2228,ABCG2,Enterocytes
2229,NR1H4,Enterocytes
2230,DAB1,Enterocytes
2231,TM6SF2,Enterocytes
2232,NR5A2,Enterocytes
2233,PDZK1,Enterocytes
2234,ACSL5,Enterocytes
2235,AQP11,Enterocytes
2236,AQP7,Enterocytes
2237,AQP8,Enterocytes
2238,HMOX1,Enterocytes
2239,SLC39A5,Enterocytes
2240,SLC51A,Enterocytes
2241,TRPM6,Enterocytes
2242,MOGAT2,Enterocytes
2243,GLS,Enterocytes
2244,MAOA,Enterocytes
2245,DGAT1,Enterocytes
2246,DGAT2,Enterocytes
2247,NPSR1,Enteroendocrine cells
2248,FFAR3,Enteroendocrine cells
2249,SCN3A,Enteroendocrine cells
2250,NEUROG3,Enteroendocrine cells
2251,FFAR1,Enteroendocrine cells
2252,ARX,Enteroendocrine cells
2253,NKX2-2,Enteroendocrine cells
2254,SCT,Enteroendocrine cells
2255,CCK,Enteroendocrine cells
2256,GFRA3,Enteroendocrine cells
2257,VWA5B2,Enteroendocrine cells
2258,NEUROD1,Enteroendocrine cells
2259,SCGN,Enteroendocrine cells
2260,PCSK1,Enteroendocrine cells
2261,ISL1,Enteroendocrine cells
2262,FABP5,Enteroendocrine cells
2263,TAC1,Enteroendocrine cells
2264,RIMBP2,Enteroendocrine cells
2265,PAX6,Enteroendocrine cells
2266,GIP,Enteroendocrine cells
2267,GLP1R,Enteroendocrine cells
2268,PYY,Enteroendocrine cells
2269,GLP2R,Enteroendocrine cells
2270,GAST,Enteroendocrine cells
2271,NTS,Enteroendocrine cells
2272,SST,Enteroendocrine cells
2273,MLN,Enteroendocrine cells
2274,GPR119,Enteroendocrine cells
2275,GCG,Enteroendocrine cells
2276,CHGB,Enteroendocrine cells
2277,CPE,Enteroendocrine cells
2278,GAL,Enteroendocrine cells
2279,NUCB2,Enteroendocrine cells
2280,IAPP,Enteroendocrine cells
2281,GHRL,Enteroendocrine cells
2282,CHGA,Enteroendocrine cells
2283,TRPA1,Enteroendocrine cells
2284,ENPP2,Enteroendocrine cells
2285,AFP,Enteroendocrine cells
2286,VEGFA,Enteroendocrine cells
2287,FFAR4,Enteroendocrine cells
2288,MC4R,Enteroendocrine cells
2289,INSL5,Enteroendocrine cells
2290,SSTR2,Enteroendocrine cells
2291,ALCAM,Enteroendocrine cells
2292,TAS1R2,Enteroendocrine cells
2293,TAS1R3,Enteroendocrine cells
2294,GNAT3,Enteroendocrine cells
2295,C3AR1,Eosinophils
2296,FUT4,Eosinophils
2297,FCER2,Eosinophils
2298,C5AR1,Eosinophils
2299,CXCR3,Eosinophils
2300,CCR1,Eosinophils
2301,CCR3,Eosinophils
2302,CD244,Eosinophils
2303,PTGDR2,Eosinophils
2304,S100A9,Eosinophils
2305,SIGLEC8,Eosinophils
2306,SIGLEC10,Eosinophils
2307,PGLYRP1,Eosinophils
2308,LTC4S,Eosinophils
2311,EPX,Eosinophils
2312,CD69,Eosinophils
2313,RNASE3,Eosinophils
2314,RNASE2,Eosinophils
2315,IL5,Eosinophils
2316,PRG2,Eosinophils
2317,PRG3,Eosinophils
2318,CPA3,Eosinophils
2319,IKZF2,Eosinophils
2320,CCL11,Eosinophils
2321,CCL5,Eosinophils
2322,CSF2,Eosinophils
2323,IL5RA,Eosinophils
2325,FOXJ1,Ependymal cells
2326,TRIM71,Ependymal cells
2327,SIX3,Ependymal cells
2328,USP18,Ependymal cells
2330,AQP4,Ependymal cells
2331,CELSR2,Ependymal cells
2332,AQP1,Ependymal cells
2333,GFAP,Ependymal cells
2334,ENKUR,Ependymal cells
2335,FAM216B,Ependymal cells
2336,KRT15,Ependymal cells
2337,CATIP,Ependymal cells
2338,DNAH12,Ependymal cells
2339,FAM166B,Ependymal cells
2340,IQCG,Ependymal cells
2341,SPEF2,Ependymal cells
2343,MYO16,Ependymal cells
2344,ODF3B,Ependymal cells
2345,PLXNB2,Ependymal cells
2346,TEKT1,Ependymal cells
2347,CHEK2,Ependymal cells
2348,CROCC,Ependymal cells
2349,NME9,Ependymal cells
2350,CFAP126,Ependymal cells
2351,MEIG1,Ependymal cells
2352,HSPA2,Ependymal cells
2353,CFAP65,Ependymal cells
2354,LRRC23,Ependymal cells
2355,TEKT4,Ependymal cells
2356,CALML4,Ependymal cells
2357,PIFO,Ependymal cells
2358,CRYGN,Ependymal cells
2359,HDC,Ependymal cells
2361,PCP4L1,Ependymal cells
2362,DYNLRB2,Ependymal cells
2363,TMEM107,Ependymal cells
2364,RIIAD1,Ependymal cells
2365,TMEM212,Ependymal cells
2366,RSPH1,Ependymal cells
2367,CCDC153,Ependymal cells
2368,S100B,Ependymal cells
2369,AK7,Ependymal cells
2370,RARRES2,Ependymal cells
2371,PVALB,Ependymal cells
2372,ANGPTL2,Ependymal cells
2373,CFAP54,Ependymal cells
2374,STOML3,Ependymal cells
2375,PLTP,Ependymal cells
2376,SSPO,Ependymal cells
2377,EFNB3,Ependymal cells
2378,MYB,Ependymal cells
2379,RFX2,Ependymal cells
2380,ZMYND10,Ependymal cells
2381,AK8,Ependymal cells
2382,CFAP44,Ependymal cells
2383,TM4SF1,Ependymal cells
2384,NANOG,Epiblast cells
2385,POU5F1,Epiblast cells
2386,ERAS,Epiblast cells
2387,CDH1,Epiblast cells
2388,EPCAM,Epiblast cells
2389,CLDN6,Epiblast cells
2390,CLDN7,Epiblast cells
2392,SLC35D3,Epiblast cells
2393,TDGF1,Epiblast cells
2394,CXCL12,Epiblast cells
2395,SOX11,Epiblast cells
2396,LEF1,Epiblast cells
2397,CRMP1,Epiblast cells
2398,DPYSL5,Epiblast cells
2399,BCL11A,Epiblast cells
2400,INA,Epiblast cells
2401,MFAP2,Epiblast cells
2402,CD24,Epithelial cells
2403,CEACAM1,Epithelial cells
2404,ST6GAL1,Epithelial cells
2405,ITGB4,Epithelial cells
2406,IL1R1,Epithelial cells
2407,PROM1,Epithelial cells
2408,CDH1,Epithelial cells
2409,KRT1,Epithelial cells
2410,KRT7,Epithelial cells
2411,MUC1,Epithelial cells
2412,ICAM1,Epithelial cells
2413,KRT14,Epithelial cells
2414,KRT5,Epithelial cells
2415,ITGAL,Epithelial cells
2416,CD2,Epithelial cells
2417,KLK3,Epithelial cells
2418,ITGA5,Epithelial cells
2419,ITGA4,Epithelial cells
2420,ITGA2,Epithelial cells
2421,KRT3,Epithelial cells
2422,KRT16,Epithelial cells
2423,SCNN1A,Epithelial cells
2424,KRT15,Epithelial cells
2425,ITGA1,Epithelial cells
2426,KRT2,Epithelial cells
2428,SCNN1B,Epithelial cells
2429,SCNN1D,Epithelial cells
2430,SCNN1G,Epithelial cells
2431,IFI16,Epithelial cells
2432,BOK,Epithelial cells
2433,NKD1,Epithelial cells
2434,FZD6,Epithelial cells
2435,DKK3,Epithelial cells
2436,NRP2,Epithelial cells
2438,SFRP5,Epithelial cells
2439,RAI14,Epithelial cells
2440,DEFB1,Epithelial cells
2441,KLK1,Epithelial cells
2442,AGR2,Epithelial cells
2443,APOA1,Epithelial cells
2444,GPA33,Epithelial cells
2445,ANPEP,Epithelial cells
2447,CRYBA1,Epithelial cells
2448,BMI1,Epithelial cells
2449,BRCA1,Epithelial cells
2450,MUC16,Epithelial cells
2451,CEACAM5,Epithelial cells
2452,CTSE,Epithelial cells
2453,SCGB1A1,Epithelial cells
2455,EXO1,Epithelial cells
2456,FOXA1,Epithelial cells
2457,GABRP,Epithelial cells
2458,GGT1,Epithelial cells
2459,SFN,Epithelial cells
2460,KRT13,Epithelial cells
2461,LTF,Epithelial cells
2462,SLC46A2,Epithelial cells
2466,KLK10,Epithelial cells
2467,P2RX7,Epithelial cells
2468,CDKN2A,Epithelial cells
2469,TP63,Epithelial cells
2470,CDH3,Epithelial cells
2472,PSCA,Epithelial cells
2473,AGER,Epithelial cells
2474,ZFP42,Epithelial cells
2475,SPRR1B,Epithelial cells
2476,SI,Epithelial cells
2477,TTR,Epithelial cells
2478,TM4SF20,Epithelial cells
2479,TSTD1,Epithelial cells
2480,SYCN,Epithelial cells
2481,HBEGF,Epithelial cells
2482,PIGR,Epithelial cells
2484,MUC13,Epithelial cells
2485,SELENBP1,Epithelial cells
2486,ELF3,Epithelial cells
2489,TSPAN1,Epithelial cells
2490,GUCA2A,Epithelial cells
2491,PHGR1,Epithelial cells
2492,LYPD8,Epithelial cells
2493,LGALS4,Epithelial cells
2494,GATA2,Epithelial cells
2495,SEC23B,Epithelial cells
2496,TSPAN8,Epithelial cells
2497,DLX5,Epithelial cells
2498,DGAT2,Epithelial cells
2499,ITPR2,Epithelial cells
2500,THRSP,Epithelial cells
2501,PLA2G4A,Epithelial cells
2502,SLC25A48,Epithelial cells
2503,PGR,Epithelial cells
2505,FERMT1,Epithelial cells
2507,EHF,Epithelial cells
2508,PLEKHS1,Epithelial cells
2509,CDKL1,Epithelial cells
2510,MECOM,Epithelial cells
2511,MSX1,Epithelial cells
2512,RNF128,Epithelial cells
2513,ANLN,Epithelial cells
2515,CKAP2,Epithelial cells
2516,HMMR,Epithelial cells
2517,KIF15,Epithelial cells
2518,CKAP2L,Epithelial cells
2519,KIF20B,Epithelial cells
2520,HIRIP3,Epithelial cells
2521,INCENP,Epithelial cells
2522,KIF23,Epithelial cells
2523,PRC1,Epithelial cells
2524,ECT2,Epithelial cells
2525,CXCL10,Epithelial cells
2526,CXCL8,Epithelial cells
2527,CCL20,Epithelial cells
2528,CXCL17,Epithelial cells
2529,PRG4,Epithelial cells
2530,ALOX15,Epithelial cells
2531,F5,Epithelial cells
2532,EMILIN2,Epithelial cells
2535,SPTSSB,Epithelial cells
2536,FMO5,Epithelial cells
2537,IVL,Epithelial cells
2538,VSIG2,Epithelial cells
2539,AQP3,Epithelial cells
2540,PAQR5,Epithelial cells
2541,EPCAM,Epithelial cells
2542,CLDN1,Epithelial cells
2543,OCLN,Epithelial cells
2544,MUC5AC,Epithelial cells
2545,GHRL,Epsilon cells
2546,ANXA13,Epsilon cells
2547,PHGR1,Epsilon cells
2548,BMP4,Epsilon cells
2549,HMGCS2,Epsilon cells
2550,TM4SF5,Epsilon cells
2551,OLFML3,Epsilon cells
2552,ASGR1,Epsilon cells
2553,COX6A2,Epsilon cells
2554,NPY1R,Epsilon cells
2555,FAXDC2,Epsilon cells
2556,SLC7A9,Epsilon cells
2558,C2ORF54,Epsilon cells
2559,GHRLOS,Epsilon cells
2560,BHMT,Epsilon cells
2561,OPRK1,Epsilon cells
2562,PTGER4,Epsilon cells
2563,ITGA4,Epsilon cells
2564,EYA4,Epsilon cells
2565,XYLB,Epsilon cells
2566,ELOVL2,Epsilon cells
2567,AFF3,Epsilon cells
2568,CORIN,Epsilon cells
2569,MYO1A,Epsilon cells
2570,HRH2,Epsilon cells
2571,CALCR,Epsilon cells
2572,SLC6A16,Epsilon cells
2573,PCSK6,Epsilon cells
2574,ADAMTS6,Epsilon cells
2575,COL22A1,Epsilon cells
2576,FAM124A,Epsilon cells
2577,COL12A1,Epsilon cells
2578,CD109,Epsilon cells
2579,THSD4,Epsilon cells
2580,ARX,Epsilon cells
2581,NKX2-2,Epsilon cells
2582,ACSL1,Epsilon cells
2583,FRZB,Epsilon cells
2585,VTN,Epsilon cells
2586,APOH,Epsilon cells
2587,SPINK1,Epsilon cells
2588,VSTM2L,Epsilon cells
2589,SPTSSB,Epsilon cells
2590,S100A6,Epsilon cells
2591,KRT8,Epsilon cells
2592,CGA,Erythroblasts
2593,TFRC,Erythroblasts
2594,CDH1,Erythroblasts
2595,WRN,Erythroblasts
2596,CD44,Erythroblasts
2597,KLF1,Erythroblasts
2598,BCL11A,Erythroblasts
2599,BPGM,Erythroblasts
2600,ETS1,Erythroblasts
2601,EPOR,Erythroblasts
2602,IGBP1,Erythroblasts
2603,TFR2,Erythroblasts
2604,GYPA,Erythroblasts
2605,LMNB1,Erythroblasts
2606,LRP8,Erythroblasts
2607,GRSF1,Erythroblasts
2608,USE1,Erythroblasts
2609,ITGB1,Erythroblasts
2610,CFP,Erythroblasts
2611,ENG,Erythroblasts
2612,KIT,Erythroblasts
2613,LMO2,Erythroblasts
2614,GATA1,Erythroblasts
2615,TAL1,Erythroblasts
2616,KMT5A,Erythroblasts
2617,PIEZO1,Erythroblasts
2619,ALAS2,Erythroid-like and erythroid precursor cells
2620,HEXA,Erythroid-like and erythroid precursor cells
2621,AQP1,Erythroid-like and erythroid precursor cells
2622,CCNA2,Erythroid-like and erythroid precursor cells
2623,PKLR,Erythroid-like and erythroid precursor cells
2624,LOX,Erythroid-like and erythroid precursor cells
2625,ARG1,Erythroid-like and erythroid precursor cells
2626,HBB,Erythroid-like and erythroid precursor cells
2627,HBA1,Erythroid-like and erythroid precursor cells
2628,HBA2,Erythroid-like and erythroid precursor cells
2629,HBG1,Erythroid-like and erythroid precursor cells
2630,HBG2,Erythroid-like and erythroid precursor cells
2631,CEACAM1,Erythroid-like and erythroid precursor cells
2632,CD36,Erythroid-like and erythroid precursor cells
2633,GYPA,Erythroid-like and erythroid precursor cells
2634,THBS1,Erythroid-like and erythroid precursor cells
2635,ITGA4,Erythroid-like and erythroid precursor cells
2636,GYPB,Erythroid-like and erythroid precursor cells
2637,AHSP,Erythroid-like and erythroid precursor cells
2638,HBM,Erythroid-like and erythroid precursor cells
2639,FECH,Erythroid-like and erythroid precursor cells
2640,EPOR,Erythroid-like and erythroid precursor cells
2641,KIT,Erythroid-like and erythroid precursor cells
2642,BPGM,Erythroid-like and erythroid precursor cells
2643,DCAF12,Erythroid-like and erythroid precursor cells
2644,HBD,Erythroid-like and erythroid precursor cells
2645,HEMGN,Erythroid-like and erythroid precursor cells
2646,HMBS,Erythroid-like and erythroid precursor cells
2647,NCOA4,Erythroid-like and erythroid precursor cells
2648,RBM38,Erythroid-like and erythroid precursor cells
2649,UCP2,Erythroid-like and erythroid precursor cells
2650,UBB,Erythroid-like and erythroid precursor cells
2651,TMCC2,Erythroid-like and erythroid precursor cells
2652,SLC4A1,Erythroid-like and erythroid precursor cells
2653,SLC25A39,Erythroid-like and erythroid precursor cells
2654,SLC25A37,Erythroid-like and erythroid precursor cells
2655,FOSB,Erythroid-like and erythroid precursor cells
2657,HTATSF1,Erythroid-like and erythroid precursor cells
2658,EPB41,Erythroid-like and erythroid precursor cells
2659,RSAD2,Erythroid-like and erythroid precursor cells
2661,COX6B2,Erythroid-like and erythroid precursor cells
2662,APOA1,Erythroid-like and erythroid precursor cells
2663,ASNS,Erythroid-like and erythroid precursor cells
2666,ALAD,Erythroid-like and erythroid precursor cells
2667,S100A9,Erythroid-like and erythroid precursor cells
2668,AHSG,Erythroid-like and erythroid precursor cells
2669,S100A8,Erythroid-like and erythroid precursor cells
2673,ERMAP,Erythroid-like and erythroid precursor cells
2674,KCNN4,Erythroid-like and erythroid precursor cells
2675,PAN3,Erythroid-like and erythroid precursor cells
2676,PFAS,Erythroid-like and erythroid precursor cells
2677,VAMP5,Erythroid-like and erythroid precursor cells
2680,PNPO,Erythroid-like and erythroid precursor cells
2681,TSPO2,Erythroid-like and erythroid precursor cells
2682,RHD,Erythroid-like and erythroid precursor cells
2683,KLF1,Erythroid-like and erythroid precursor cells
2685,TSPAN33,Erythroid-like and erythroid precursor cells
2686,EPB42,Erythroid-like and erythroid precursor cells
2687,CD44,Erythroid-like and erythroid precursor cells
2688,CD47,Erythroid-like and erythroid precursor cells
2689,CD55,Erythroid-like and erythroid precursor cells
2691,EDRF1,Erythroid-like and erythroid precursor cells
2692,EPB41L2,Erythroid-like and erythroid precursor cells
2693,GYPC,Erythroid-like and erythroid precursor cells
2694,KEL,Erythroid-like and erythroid precursor cells
2695,RHAG,Erythroid-like and erythroid precursor cells
2696,THRB,Erythroid-like and erythroid precursor cells
2697,UROD,Erythroid-like and erythroid precursor cells
2698,UROS,Erythroid-like and erythroid precursor cells
2699,SNCA,Erythroid-like and erythroid precursor cells
2700,IL1R1,Fibroblasts
2701,FAP,Fibroblasts
2702,FLI1,Fibroblasts
2703,CELA1,Fibroblasts
2704,LOX,Fibroblasts
2705,PDGFRB,Fibroblasts
2706,P4HA1,Fibroblasts
2707,UCP2,Fibroblasts
2708,CCR2,Fibroblasts
2710,ITGAL,Fibroblasts
2712,FGR,Fibroblasts
2713,HCK,Fibroblasts
2715,TNFRSF1B,Fibroblasts
2716,PRKCD,Fibroblasts
2717,ENO3,Fibroblasts
2719,ABI3,Fibroblasts
2720,TREML4,Fibroblasts
2722,PIP4K2A,Fibroblasts
2723,CD300E,Fibroblasts
2724,SERPINB10,Fibroblasts
2725,CTHRC1,Fibroblasts
2726,TBX18,Fibroblasts
2727,COL15A1,Fibroblasts
2728,GJB2,Fibroblasts
2729,IL34,Fibroblasts
2730,EDN3,Fibroblasts
2731,SLC6A13,Fibroblasts
2732,VTN,Fibroblasts
2733,ITIH5,Fibroblasts
2734,LUM,Fibroblasts
2735,DPT,Fibroblasts
2736,POSTN,Fibroblasts
2737,PENK,Fibroblasts
2738,MMP14,Fibroblasts
2739,COL6A2,Fibroblasts
2740,FABP4,Fibroblasts
2741,ASPN,Fibroblasts
2742,ANGPTL2,Fibroblasts
2743,EFEMP1,Fibroblasts
2744,SCARA5,Fibroblasts
2745,IGFBP3,Fibroblasts
2746,COPZ2,Fibroblasts
2747,DPEP1,Fibroblasts
2748,ADAMTS5,Fibroblasts
2749,COL5A1,Fibroblasts
2750,CD248,Fibroblasts
2751,PI16,Fibroblasts
2752,PAMR1,Fibroblasts
2753,TNXB,Fibroblasts
2754,MMP2,Fibroblasts
2755,COL14A1,Fibroblasts
2756,CLEC3B,Fibroblasts
2757,IGFBP6,Fibroblasts
2759,COL5A2,Fibroblasts
2760,FBN1,Fibroblasts
2761,MFAP5,Fibroblasts
2762,FKBP10,Fibroblasts
2763,PALLD,Fibroblasts
2764,WIF1,Fibroblasts
2765,SNHG18,Fibroblasts
2766,CDH11,Fibroblasts
2767,PTCH1,Fibroblasts
2768,ARAP1,Fibroblasts
2769,FBLN2,Fibroblasts
2770,IGF1,Fibroblasts
2771,PRRX1,Fibroblasts
2772,FKBP7,Fibroblasts
2773,OAF,Fibroblasts
2774,COL6A3,Fibroblasts
2775,CTSK,Fibroblasts
2776,DKK1,Fibroblasts
2777,C1S,Fibroblasts
2778,RARRES2,Fibroblasts
2779,GREM1,Fibroblasts
2780,SPON2,Fibroblasts
2781,TCF21,Fibroblasts
2782,PCSK6,Fibroblasts
2783,COL8A1,Fibroblasts
2784,ENTPD2,Fibroblasts
2786,CXCL8,Fibroblasts
2787,CXCL3,Fibroblasts
2788,IL6,Fibroblasts
2789,CYP1B1,Fibroblasts
2790,COL13A1,Fibroblasts
2791,ADAMTS10,Fibroblasts
2792,CCL11,Fibroblasts
2793,ADAM33,Fibroblasts
2794,COL4A3,Fibroblasts
2795,COL4A4,Fibroblasts
2796,LAMA2,Fibroblasts
2797,ACKR3,Fibroblasts
2798,CD55,Fibroblasts
2799,FBLN7,Fibroblasts
2800,FIBIN,Fibroblasts
2801,THBS2,Fibroblasts
2802,NOV,Fibroblasts
2803,PTX3,Fibroblasts
2804,MMP3,Fibroblasts
2805,LRRK1,Fibroblasts
2806,HGF,Fibroblasts
2807,FRZB,Fibroblasts
2808,COL12A1,Fibroblasts
2809,COL7A1,Fibroblasts
2810,MEOX1,Fibroblasts
2811,PRG4,Fibroblasts
2812,PKD2,Fibroblasts
2813,CCL19,Fibroblasts
2814,NNMT,Fibroblasts
2815,FOXF1,Fibroblasts
2816,HAS1,Fibroblasts
2817,CTGF,Fibroblasts
2818,ERCC1,Fibroblasts
2819,WISP1,Fibroblasts
2820,TWIST2,Fibroblasts
2821,RIPK3,Fibroblasts
2822,DDR2,Fibroblasts
2823,ELN,Fibroblasts
2824,FN1,Fibroblasts
2825,HHIP,Fibroblasts
2826,FMO2,Fibroblasts
2827,COL1A2,Fibroblasts
2828,COL3A1,Fibroblasts
2829,VIM,Fibroblasts
2830,FSTL1,Fibroblasts
2831,GSN,Fibroblasts
2832,SPARC,Fibroblasts
2833,S100A4,Fibroblasts
2834,NT5E,Fibroblasts
2835,COL1A1,Fibroblasts
2836,MGP,Fibroblasts
2837,NOX4,Fibroblasts
2838,THY1,Fibroblasts
2839,CD40,Fibroblasts
2840,SERPINH1,Fibroblasts
2841,CD44,Fibroblasts
2842,PDGFRA,Fibroblasts
2843,EN1,Fibroblasts
2844,DCN,Fibroblasts
2845,CEBPB,Fibroblasts
2846,EGR1,Fibroblasts
2847,FOSB,Fibroblasts
2848,FOSL2,Fibroblasts
2849,HIF1A,Fibroblasts
2850,KLF2,Fibroblasts
2851,KLF4,Fibroblasts
2852,KLF6,Fibroblasts
